sample	image	mask	label
s0011_pancreas	__TOTALSEG_DATA_DIR__/s0011/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0011/segmentations/pancreas.nii.gz	1
s0011_spleen	__TOTALSEG_DATA_DIR__/s0011/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0011/segmentations/spleen.nii.gz	1
s0012_kidney_left	__TOTALSEG_DATA_DIR__/s0012/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0012/segmentations/kidney_left.nii.gz	1
s0012_kidney_right	__TOTALSEG_DATA_DIR__/s0012/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0012/segmentations/kidney_right.nii.gz	1
s0012_liver	__TOTALSEG_DATA_DIR__/s0012/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0012/segmentations/liver.nii.gz	1
s0012_pancreas	__TOTALSEG_DATA_DIR__/s0012/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0012/segmentations/pancreas.nii.gz	1
s0012_spleen	__TOTALSEG_DATA_DIR__/s0012/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0012/segmentations/spleen.nii.gz	1
s0013_kidney_left	__TOTALSEG_DATA_DIR__/s0013/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0013/segmentations/kidney_left.nii.gz	1
s0013_kidney_right	__TOTALSEG_DATA_DIR__/s0013/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0013/segmentations/kidney_right.nii.gz	1
s0013_liver	__TOTALSEG_DATA_DIR__/s0013/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0013/segmentations/liver.nii.gz	1
s0013_pancreas	__TOTALSEG_DATA_DIR__/s0013/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0013/segmentations/pancreas.nii.gz	1
s0013_spleen	__TOTALSEG_DATA_DIR__/s0013/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0013/segmentations/spleen.nii.gz	1
s0014_kidney_left	__TOTALSEG_DATA_DIR__/s0014/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0014/segmentations/kidney_left.nii.gz	1
s0014_kidney_right	__TOTALSEG_DATA_DIR__/s0014/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0014/segmentations/kidney_right.nii.gz	1
s0014_liver	__TOTALSEG_DATA_DIR__/s0014/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0014/segmentations/liver.nii.gz	1
s0014_pancreas	__TOTALSEG_DATA_DIR__/s0014/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0014/segmentations/pancreas.nii.gz	1
s0014_spleen	__TOTALSEG_DATA_DIR__/s0014/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0014/segmentations/spleen.nii.gz	1
s0015_kidney_left	__TOTALSEG_DATA_DIR__/s0015/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0015/segmentations/kidney_left.nii.gz	1
s0015_kidney_right	__TOTALSEG_DATA_DIR__/s0015/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0015/segmentations/kidney_right.nii.gz	1
s0015_liver	__TOTALSEG_DATA_DIR__/s0015/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0015/segmentations/liver.nii.gz	1
s0015_pancreas	__TOTALSEG_DATA_DIR__/s0015/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0015/segmentations/pancreas.nii.gz	1
s0015_spleen	__TOTALSEG_DATA_DIR__/s0015/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0015/segmentations/spleen.nii.gz	1
s0016_kidney_left	__TOTALSEG_DATA_DIR__/s0016/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0016/segmentations/kidney_left.nii.gz	1
s0016_kidney_right	__TOTALSEG_DATA_DIR__/s0016/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0016/segmentations/kidney_right.nii.gz	1
s0016_liver	__TOTALSEG_DATA_DIR__/s0016/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0016/segmentations/liver.nii.gz	1
s0016_pancreas	__TOTALSEG_DATA_DIR__/s0016/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0016/segmentations/pancreas.nii.gz	1
s0016_spleen	__TOTALSEG_DATA_DIR__/s0016/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0016/segmentations/spleen.nii.gz	1
s0019_kidney_left	__TOTALSEG_DATA_DIR__/s0019/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0019/segmentations/kidney_left.nii.gz	1
s0019_kidney_right	__TOTALSEG_DATA_DIR__/s0019/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0019/segmentations/kidney_right.nii.gz	1
s0019_liver	__TOTALSEG_DATA_DIR__/s0019/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0019/segmentations/liver.nii.gz	1
s0019_pancreas	__TOTALSEG_DATA_DIR__/s0019/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0019/segmentations/pancreas.nii.gz	1
s0019_spleen	__TOTALSEG_DATA_DIR__/s0019/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0019/segmentations/spleen.nii.gz	1
s0022_kidney_left	__TOTALSEG_DATA_DIR__/s0022/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0022/segmentations/kidney_left.nii.gz	1
s0022_kidney_right	__TOTALSEG_DATA_DIR__/s0022/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0022/segmentations/kidney_right.nii.gz	1
s0022_liver	__TOTALSEG_DATA_DIR__/s0022/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0022/segmentations/liver.nii.gz	1
s0022_pancreas	__TOTALSEG_DATA_DIR__/s0022/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0022/segmentations/pancreas.nii.gz	1
s0022_spleen	__TOTALSEG_DATA_DIR__/s0022/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0022/segmentations/spleen.nii.gz	1
s0024_kidney_left	__TOTALSEG_DATA_DIR__/s0024/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0024/segmentations/kidney_left.nii.gz	1
s0024_kidney_right	__TOTALSEG_DATA_DIR__/s0024/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0024/segmentations/kidney_right.nii.gz	1
s0024_liver	__TOTALSEG_DATA_DIR__/s0024/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0024/segmentations/liver.nii.gz	1
s0024_pancreas	__TOTALSEG_DATA_DIR__/s0024/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0024/segmentations/pancreas.nii.gz	1
s0024_spleen	__TOTALSEG_DATA_DIR__/s0024/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0024/segmentations/spleen.nii.gz	1
s0028_kidney_left	__TOTALSEG_DATA_DIR__/s0028/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0028/segmentations/kidney_left.nii.gz	1
s0028_kidney_right	__TOTALSEG_DATA_DIR__/s0028/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0028/segmentations/kidney_right.nii.gz	1
s0028_liver	__TOTALSEG_DATA_DIR__/s0028/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0028/segmentations/liver.nii.gz	1
s0028_pancreas	__TOTALSEG_DATA_DIR__/s0028/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0028/segmentations/pancreas.nii.gz	1
s0028_spleen	__TOTALSEG_DATA_DIR__/s0028/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0028/segmentations/spleen.nii.gz	1
s0029_kidney_left	__TOTALSEG_DATA_DIR__/s0029/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0029/segmentations/kidney_left.nii.gz	1
s0029_kidney_right	__TOTALSEG_DATA_DIR__/s0029/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0029/segmentations/kidney_right.nii.gz	1
s0029_liver	__TOTALSEG_DATA_DIR__/s0029/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0029/segmentations/liver.nii.gz	1
s0029_pancreas	__TOTALSEG_DATA_DIR__/s0029/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0029/segmentations/pancreas.nii.gz	1
s0029_spleen	__TOTALSEG_DATA_DIR__/s0029/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0029/segmentations/spleen.nii.gz	1
s0030_kidney_left	__TOTALSEG_DATA_DIR__/s0030/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0030/segmentations/kidney_left.nii.gz	1
s0030_kidney_right	__TOTALSEG_DATA_DIR__/s0030/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0030/segmentations/kidney_right.nii.gz	1
s0030_liver	__TOTALSEG_DATA_DIR__/s0030/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0030/segmentations/liver.nii.gz	1
s0030_pancreas	__TOTALSEG_DATA_DIR__/s0030/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0030/segmentations/pancreas.nii.gz	1
s0030_spleen	__TOTALSEG_DATA_DIR__/s0030/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0030/segmentations/spleen.nii.gz	1
s0031_kidney_left	__TOTALSEG_DATA_DIR__/s0031/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0031/segmentations/kidney_left.nii.gz	1
s0031_kidney_right	__TOTALSEG_DATA_DIR__/s0031/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0031/segmentations/kidney_right.nii.gz	1
s0031_liver	__TOTALSEG_DATA_DIR__/s0031/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0031/segmentations/liver.nii.gz	1
s0031_pancreas	__TOTALSEG_DATA_DIR__/s0031/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0031/segmentations/pancreas.nii.gz	1
s0031_spleen	__TOTALSEG_DATA_DIR__/s0031/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0031/segmentations/spleen.nii.gz	1
s0032_kidney_left	__TOTALSEG_DATA_DIR__/s0032/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0032/segmentations/kidney_left.nii.gz	1
s0032_liver	__TOTALSEG_DATA_DIR__/s0032/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0032/segmentations/liver.nii.gz	1
s0032_pancreas	__TOTALSEG_DATA_DIR__/s0032/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0032/segmentations/pancreas.nii.gz	1
s0032_spleen	__TOTALSEG_DATA_DIR__/s0032/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0032/segmentations/spleen.nii.gz	1
s0034_kidney_left	__TOTALSEG_DATA_DIR__/s0034/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0034/segmentations/kidney_left.nii.gz	1
s0034_kidney_right	__TOTALSEG_DATA_DIR__/s0034/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0034/segmentations/kidney_right.nii.gz	1
s0034_liver	__TOTALSEG_DATA_DIR__/s0034/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0034/segmentations/liver.nii.gz	1
s0034_pancreas	__TOTALSEG_DATA_DIR__/s0034/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0034/segmentations/pancreas.nii.gz	1
s0037_kidney_left	__TOTALSEG_DATA_DIR__/s0037/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0037/segmentations/kidney_left.nii.gz	1
s0037_liver	__TOTALSEG_DATA_DIR__/s0037/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0037/segmentations/liver.nii.gz	1
s0037_pancreas	__TOTALSEG_DATA_DIR__/s0037/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0037/segmentations/pancreas.nii.gz	1
s0037_spleen	__TOTALSEG_DATA_DIR__/s0037/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0037/segmentations/spleen.nii.gz	1
s0038_kidney_left	__TOTALSEG_DATA_DIR__/s0038/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0038/segmentations/kidney_left.nii.gz	1
s0038_kidney_right	__TOTALSEG_DATA_DIR__/s0038/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0038/segmentations/kidney_right.nii.gz	1
s0038_liver	__TOTALSEG_DATA_DIR__/s0038/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0038/segmentations/liver.nii.gz	1
s0038_pancreas	__TOTALSEG_DATA_DIR__/s0038/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0038/segmentations/pancreas.nii.gz	1
s0038_spleen	__TOTALSEG_DATA_DIR__/s0038/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0038/segmentations/spleen.nii.gz	1
s0039_kidney_left	__TOTALSEG_DATA_DIR__/s0039/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0039/segmentations/kidney_left.nii.gz	1
s0039_kidney_right	__TOTALSEG_DATA_DIR__/s0039/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0039/segmentations/kidney_right.nii.gz	1
s0039_liver	__TOTALSEG_DATA_DIR__/s0039/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0039/segmentations/liver.nii.gz	1
s0039_pancreas	__TOTALSEG_DATA_DIR__/s0039/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0039/segmentations/pancreas.nii.gz	1
s0039_spleen	__TOTALSEG_DATA_DIR__/s0039/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0039/segmentations/spleen.nii.gz	1
s0040_kidney_left	__TOTALSEG_DATA_DIR__/s0040/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0040/segmentations/kidney_left.nii.gz	1
s0040_kidney_right	__TOTALSEG_DATA_DIR__/s0040/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0040/segmentations/kidney_right.nii.gz	1
s0040_liver	__TOTALSEG_DATA_DIR__/s0040/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0040/segmentations/liver.nii.gz	1
s0040_pancreas	__TOTALSEG_DATA_DIR__/s0040/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0040/segmentations/pancreas.nii.gz	1
s0040_spleen	__TOTALSEG_DATA_DIR__/s0040/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0040/segmentations/spleen.nii.gz	1
s0042_kidney_left	__TOTALSEG_DATA_DIR__/s0042/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0042/segmentations/kidney_left.nii.gz	1
s0042_kidney_right	__TOTALSEG_DATA_DIR__/s0042/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0042/segmentations/kidney_right.nii.gz	1
s0042_liver	__TOTALSEG_DATA_DIR__/s0042/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0042/segmentations/liver.nii.gz	1
s0042_pancreas	__TOTALSEG_DATA_DIR__/s0042/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0042/segmentations/pancreas.nii.gz	1
s0042_spleen	__TOTALSEG_DATA_DIR__/s0042/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0042/segmentations/spleen.nii.gz	1
s0045_kidney_left	__TOTALSEG_DATA_DIR__/s0045/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0045/segmentations/kidney_left.nii.gz	1
s0045_kidney_right	__TOTALSEG_DATA_DIR__/s0045/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0045/segmentations/kidney_right.nii.gz	1
s0045_liver	__TOTALSEG_DATA_DIR__/s0045/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0045/segmentations/liver.nii.gz	1
s0045_pancreas	__TOTALSEG_DATA_DIR__/s0045/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0045/segmentations/pancreas.nii.gz	1
s0045_spleen	__TOTALSEG_DATA_DIR__/s0045/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0045/segmentations/spleen.nii.gz	1
s0046_kidney_left	__TOTALSEG_DATA_DIR__/s0046/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0046/segmentations/kidney_left.nii.gz	1
s0046_kidney_right	__TOTALSEG_DATA_DIR__/s0046/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0046/segmentations/kidney_right.nii.gz	1
s0046_liver	__TOTALSEG_DATA_DIR__/s0046/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0046/segmentations/liver.nii.gz	1
s0046_pancreas	__TOTALSEG_DATA_DIR__/s0046/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0046/segmentations/pancreas.nii.gz	1
s0046_spleen	__TOTALSEG_DATA_DIR__/s0046/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0046/segmentations/spleen.nii.gz	1
s0049_kidney_left	__TOTALSEG_DATA_DIR__/s0049/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0049/segmentations/kidney_left.nii.gz	1
s0049_kidney_right	__TOTALSEG_DATA_DIR__/s0049/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0049/segmentations/kidney_right.nii.gz	1
s0049_liver	__TOTALSEG_DATA_DIR__/s0049/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0049/segmentations/liver.nii.gz	1
s0049_pancreas	__TOTALSEG_DATA_DIR__/s0049/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0049/segmentations/pancreas.nii.gz	1
s0049_spleen	__TOTALSEG_DATA_DIR__/s0049/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0049/segmentations/spleen.nii.gz	1
s0050_kidney_left	__TOTALSEG_DATA_DIR__/s0050/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0050/segmentations/kidney_left.nii.gz	1
s0050_kidney_right	__TOTALSEG_DATA_DIR__/s0050/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0050/segmentations/kidney_right.nii.gz	1
s0050_liver	__TOTALSEG_DATA_DIR__/s0050/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0050/segmentations/liver.nii.gz	1
s0050_pancreas	__TOTALSEG_DATA_DIR__/s0050/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0050/segmentations/pancreas.nii.gz	1
s0050_spleen	__TOTALSEG_DATA_DIR__/s0050/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0050/segmentations/spleen.nii.gz	1
s0052_kidney_left	__TOTALSEG_DATA_DIR__/s0052/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0052/segmentations/kidney_left.nii.gz	1
s0052_kidney_right	__TOTALSEG_DATA_DIR__/s0052/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0052/segmentations/kidney_right.nii.gz	1
s0052_liver	__TOTALSEG_DATA_DIR__/s0052/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0052/segmentations/liver.nii.gz	1
s0052_pancreas	__TOTALSEG_DATA_DIR__/s0052/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0052/segmentations/pancreas.nii.gz	1
s0052_spleen	__TOTALSEG_DATA_DIR__/s0052/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0052/segmentations/spleen.nii.gz	1
s0053_kidney_left	__TOTALSEG_DATA_DIR__/s0053/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0053/segmentations/kidney_left.nii.gz	1
s0053_kidney_right	__TOTALSEG_DATA_DIR__/s0053/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0053/segmentations/kidney_right.nii.gz	1
s0053_liver	__TOTALSEG_DATA_DIR__/s0053/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0053/segmentations/liver.nii.gz	1
s0053_pancreas	__TOTALSEG_DATA_DIR__/s0053/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0053/segmentations/pancreas.nii.gz	1
s0053_spleen	__TOTALSEG_DATA_DIR__/s0053/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0053/segmentations/spleen.nii.gz	1
s0054_kidney_left	__TOTALSEG_DATA_DIR__/s0054/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0054/segmentations/kidney_left.nii.gz	1
s0054_kidney_right	__TOTALSEG_DATA_DIR__/s0054/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0054/segmentations/kidney_right.nii.gz	1
s0054_liver	__TOTALSEG_DATA_DIR__/s0054/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0054/segmentations/liver.nii.gz	1
s0054_pancreas	__TOTALSEG_DATA_DIR__/s0054/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0054/segmentations/pancreas.nii.gz	1
s0054_spleen	__TOTALSEG_DATA_DIR__/s0054/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0054/segmentations/spleen.nii.gz	1
s0057_kidney_left	__TOTALSEG_DATA_DIR__/s0057/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0057/segmentations/kidney_left.nii.gz	1
s0057_kidney_right	__TOTALSEG_DATA_DIR__/s0057/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0057/segmentations/kidney_right.nii.gz	1
s0057_liver	__TOTALSEG_DATA_DIR__/s0057/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0057/segmentations/liver.nii.gz	1
s0057_pancreas	__TOTALSEG_DATA_DIR__/s0057/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0057/segmentations/pancreas.nii.gz	1
s0057_spleen	__TOTALSEG_DATA_DIR__/s0057/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0057/segmentations/spleen.nii.gz	1
s0058_kidney_left	__TOTALSEG_DATA_DIR__/s0058/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0058/segmentations/kidney_left.nii.gz	1
s0058_kidney_right	__TOTALSEG_DATA_DIR__/s0058/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0058/segmentations/kidney_right.nii.gz	1
s0058_liver	__TOTALSEG_DATA_DIR__/s0058/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0058/segmentations/liver.nii.gz	1
s0058_pancreas	__TOTALSEG_DATA_DIR__/s0058/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0058/segmentations/pancreas.nii.gz	1
s0058_spleen	__TOTALSEG_DATA_DIR__/s0058/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0058/segmentations/spleen.nii.gz	1
s0059_kidney_left	__TOTALSEG_DATA_DIR__/s0059/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0059/segmentations/kidney_left.nii.gz	1
s0059_kidney_right	__TOTALSEG_DATA_DIR__/s0059/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0059/segmentations/kidney_right.nii.gz	1
s0059_liver	__TOTALSEG_DATA_DIR__/s0059/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0059/segmentations/liver.nii.gz	1
s0059_pancreas	__TOTALSEG_DATA_DIR__/s0059/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0059/segmentations/pancreas.nii.gz	1
s0059_spleen	__TOTALSEG_DATA_DIR__/s0059/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0059/segmentations/spleen.nii.gz	1
s0065_kidney_left	__TOTALSEG_DATA_DIR__/s0065/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0065/segmentations/kidney_left.nii.gz	1
s0065_kidney_right	__TOTALSEG_DATA_DIR__/s0065/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0065/segmentations/kidney_right.nii.gz	1
s0065_liver	__TOTALSEG_DATA_DIR__/s0065/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0065/segmentations/liver.nii.gz	1
s0065_pancreas	__TOTALSEG_DATA_DIR__/s0065/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0065/segmentations/pancreas.nii.gz	1
s0065_spleen	__TOTALSEG_DATA_DIR__/s0065/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0065/segmentations/spleen.nii.gz	1
s0068_kidney_left	__TOTALSEG_DATA_DIR__/s0068/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0068/segmentations/kidney_left.nii.gz	1
s0068_kidney_right	__TOTALSEG_DATA_DIR__/s0068/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0068/segmentations/kidney_right.nii.gz	1
s0068_liver	__TOTALSEG_DATA_DIR__/s0068/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0068/segmentations/liver.nii.gz	1
s0068_pancreas	__TOTALSEG_DATA_DIR__/s0068/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0068/segmentations/pancreas.nii.gz	1
s0068_spleen	__TOTALSEG_DATA_DIR__/s0068/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0068/segmentations/spleen.nii.gz	1
s0069_kidney_left	__TOTALSEG_DATA_DIR__/s0069/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0069/segmentations/kidney_left.nii.gz	1
s0069_kidney_right	__TOTALSEG_DATA_DIR__/s0069/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0069/segmentations/kidney_right.nii.gz	1
s0069_liver	__TOTALSEG_DATA_DIR__/s0069/ct.nii.gz	__TOTALSEG_DATA_DIR__/s0069/segmentations/liver.nii.gz	1
